instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
0,983,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1,0,1,1,1,2,1,2,1,1,0,0,1,1,1,1,0.92,1
1,1057,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,1,1,0.46,1
2,955,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0.62,1
3,405,0,2,1,1,0,5,1,1,1,1,2,1,0,3,1,0,0,1,2,1,0,0,1,1,0,0,1,1,1,1,0.57,1
4,305,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,2,1,1,1,0.85,1
5,929,1,1,1,1,1,4,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,0.64,1
6,512,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0.66,1
7,984,1,1,1,1,1,4,3,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0.75,1
8,1166,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0.62,0
9,453,1,0,0,0,0,5,0,0,0,1,2,0,0,2,1,1,1,1,1,1,2,2,1,1,0,0,1,0,1,1,0.47,1
10,801,0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,2,1,0,0,0,0,1,1,0.63,0
11,352,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,2,0,0,0,0,1,1,0,1,1,1,1,0.44,0
12,935,0,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0.7,1
13,477,1,2,2,2,1,1,2,1,1,0,0,1,1,3,1,1,2,1,2,1,2,2,0,2,0,0,2,1,1,1,0.68,1
14,398,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,1,2,1,1,0.8,1
15,160,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0.66,1
16,603,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,0,1,1,0,2,0,1,0,1,0,0,1,1,0,1,0.52,1
17,190,0,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.71,1
18,1004,1,1,1,1,0,2,1,1,1,1,2,0,0,1,1,0,1,0,2,1,2,1,2,2,1,0,1,0,1,1,0.73,1
19,1007,0,1,2,1,1,2,0,1,1,1,2,1,0,1,1,0,1,1,1,0,1,0,1,2,1,0,2,2,1,1,0.47,1
20,285,1,0,0,1,0,4,0,1,1,1,2,0,1,1,1,0,1,1,1,2,0,1,1,1,0,0,2,1,0,1,0.6,1
21,207,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2,1,1,0.68,1
22,347,1,1,1,1,0,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,0,0,2,0,1,1,0.9,1
23,1107,1,1,1,2,0,1,1,1,0,1,2,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,1,1,0.96,1
