status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,instance_index,original_test_index,CF_number,distance
4.0,42.0,5.0,6.0,3394.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0,438,1,3.0
4.0,12.0,1.0,6.0,1108.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1,89,1,3.0
1.0,24.0,4.0,2.0,2957.0,1.0,5.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2,29,1,3879.1733655509647
1.0,6.0,4.0,4.0,1659.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3,466,1,18.0
1.0,12.0,3.0,1.0,1344.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,4,929,1,1.0
1.0,28.0,3.0,1.0,4006.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,5,958,1,2.0
4.0,18.0,3.0,4.0,2600.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,6,624,1,3.0
2.0,60.0,3.0,7.0,6288.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,7,938,1,4.0
2.0,48.0,3.0,1.0,6560.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,8,706,1,3.0
1.0,27.0,3.0,4.0,6758.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,9,569,1,21.02379604162864
1.0,18.0,3.0,3.0,1131.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,10,166,1,3.0
2.0,12.0,3.0,9.0,1567.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,11,887,1,14105.045941080802
1.0,36.0,5.0,2.0,5493.0,1.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,12,501,1,2.0
1.0,12.0,5.0,1.0,1082.0,1.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,13,835,1,4.0
4.0,36.0,3.0,4.0,4795.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,2.0,14,141,1,2.0
1.0,30.0,5.0,2.0,10623.0,1.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,15,205,1,1.0
1.0,48.0,3.0,2.0,10297.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,16,927,1,4.0
